,Dtype,sample_data_1,sample_data_2,sample_data_3,sample_data_4,sample_data_5,max,min,mean,std,median,Correlation with price_doc,top_corr_1,top_corr_2,top_corr_3,top_corr_4,top_corr_5,missing_values_count,missing_values_percentage,Drop it,Importance_level,Comment
oil_chemistry_raion,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
radiation_raion,object,no,no,yes,yes,no,yes,no,,,,,,,,,,,,0,1, 
railroad_terminal_raion,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
big_market_raion,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
nuclear_reactor_raion,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
detention_facility_raion,object,no,no,yes,no,no,yes,no,,,,,,,,,,,,0,1, 
full_all,int64,78616,1100773,155427,61039,57405,1716730,3521,194700.986428335,357083.37314003136,89971.0,0.025277670909638738,female_f,male_f,16_29_all,16_29_female,16_29_male,0.0,0.0,0,1, 
male_f,int64,35397,502659,75605,27823,25766,774585,1709,89787.50364117842,164358.9079313856,42750.0,0.026444640961625538,full_all,female_f,16_29_male,16_29_all,16_29_female,0.0,0.0,0,1, 
female_f,int64,43219,598114,79822,33216,31639,942145,1812,104913.48278715656,192781.29260743703,47488.0,0.0242855123316311,full_all,male_f,16_29_all,16_29_female,16_29_male,0.0,0.0,0,1, 
young_all,int64,10562,9151,24814,16928,7385,24814,2981,12989.673783515393,5054.575587669671,11996.0,0.13675236222075654,0_13_all,0_17_all,young_male,young_female,0_13_male,0.0,0.0,0,1, 
young_male,int64,5371,4737,12687,8715,3709,12687,1549,6671.0425355842435,2627.9392984761803,6137.0,0.1353274358031747,0_13_male,0_17_male,young_all,0_17_all,0_13_all,0.0,0.0,0,1, 
young_female,int64,5191,4414,12127,8213,3676,12127,1425,6318.631247931148,2436.508229684924,5811.0,0.13798636585327398,0_13_female,0_17_female,young_all,0_13_all,0_17_all,0.0,0.0,0,1, 
work_all,int64,65270,44166,100601,79011,51951,140182,13143,65335.25355842436,23740.4190482027,63495.0,0.1429012372883942,work_male,work_female,raion_popul,0_17_all,0_17_male,0.0,0.0,0,1, 
work_male,int64,38289,22748,52615,41069,25972,71360,6291,33479.84458788481,12413.936314837752,32914.0,0.14547646507874248,work_all,raion_popul,work_female,0_17_male,0_17_all,0.0,0.0,0,1, 
work_female,int64,26981,21418,47986,37942,25979,68822,6524,31855.408970539556,11540.496356283158,29692.0,0.13952656395233373,work_all,raion_popul,work_male,0_17_all,0_17_female,0.0,0.0,0,1, 
ekder_all,int64,14282,19690,41388,29172,24166,57086,2497,25302.231711353856,9595.113835553642,24252.0,0.1732644477208041,ekder_female,ekder_male,raion_popul,work_male,work_all,0.0,0.0,0,1, 
ekder_male,int64,4233,6156,11944,8989,7717,19275,708,7690.350215160543,3039.158361388212,7609.0,0.1824653753119426,ekder_all,ekder_female,raion_popul,work_male,work_all,0.0,0.0,0,1, 
ekder_female,int64,10049,13534,29444,20183,16449,37811,1789,17611.881496193313,6606.015703617138,16958.0,0.1683383423403437,ekder_all,ekder_male,raion_popul,work_all,work_male,0.0,0.0,0,1, 
0_6_all,int64,5102,4348,10955,8371,3381,10955,1379,5923.904501820589,2280.8918375400413,5506.0,0.13395706085273026,0_6_all,0_6_male,0_6_female,0_13_male,0_13_all,0.0,0.0,0,1, 
0_6_male,int64,2574,2225,5583,4356,1731,5583,721,3038.0572658060246,1187.1220015703889,2817.0,0.132796200729537,children_preschool,0_6_all,0_13_male,young_male,0_6_female,0.0,0.0,0,1, 
0_6_female,int64,2528,2123,5372,4015,1650,5372,658,2885.8472360145647,1097.9351273112404,2645.0,0.1349398590815326,children_preschool,0_6_all,0_6_male,0_13_all,young_all,0.0,0.0,0,1, 
7_14_all,int64,4798,4231,12238,7687,3478,12238,1318,6258.178583250579,2480.8032523912025,5776.0,0.13885986625331975,7_14_all,7_14_male,7_14_female,0_17_female,young_female,0.0,0.0,0,1, 
7_14_male,int64,2468,2201,6258,3937,1711,6258,685,3219.3204237007612,1288.213370682763,3000.0,0.13743888583230274,children_school,7_14_all,young_male,0_17_all,young_all,0.0,0.0,0,1, 
7_14_female,int64,2330,2030,5980,3750,1767,5980,633,3038.858159549818,1199.7799337086922,2866.0,0.1398819641279056,7_14_all,children_school,young_female,0_17_female,0_13_female,0.0,0.0,0,1, 
0_17_all,int64,11749,10478,27533,19215,8444,27533,3307,14646.606256206554,5640.610142650751,13507.0,0.13889665183533353,young_all,0_13_all,0_17_male,0_17_female,young_male,0.0,0.0,0,1, 
0_17_male,int64,5983,5479,14076,9989,4243,14076,1699,7522.757530619,2928.9543308554294,6931.5,0.13770509431809808,young_male,0_13_male,0_17_all,young_all,0_13_all,0.0,0.0,0,1, 
0_17_female,int64,5766,4999,13457,9226,4201,13457,1608,7123.848725587553,2722.7132717131244,6521.0,0.13989324773275177,young_female,0_13_female,0_17_all,young_all,0_13_all,0.0,0.0,0,1, 
16_29_all,int64,19093,234407,30980,15495,11155,367659,625,41247.30238331678,75883.47804862786,19547.0,0.022331856967036722,16_29_female,16_29_male,full_all,female_f,male_f,0.0,0.0,0,1, 
16_29_male,int64,8734,115098,16454,7299,5546,172958,323,20259.78748758689,36925.85675282968,9452.0,0.023113014884984875,16_29_all,male_f,full_all,female_f,16_29_female,0.0,0.0,0,1, 
16_29_female,int64,10359,119309,14526,8196,5609,194701,302,20987.51489572989,38991.824335590834,10265.0,0.021576056810611394,16_29_all,female_f,full_all,male_f,16_29_male,0.0,0.0,0,1, 
0_13_all,int64,9304,8098,21679,15224,6372,21679,2645,11420.191823899371,4424.52430887441,10557.0,0.13713355577929517,young_all,0_17_all,0_13_male,young_male,young_female,0.0,0.0,0,1, 
0_13_male,int64,4727,4177,11083,7873,3204,11083,1379,5865.530784508441,2301.318557607319,5377.0,0.1357779350658051,young_male,0_17_male,0_13_all,young_all,0_17_all,0.0,0.0,0,1, 
0_13_female,int64,4577,3921,10596,7351,3168,10596,1237,5554.6610393909305,2132.084123757268,5120.0,0.1382767627522346,young_female,0_17_female,0_13_all,young_all,0_17_all,0.0,0.0,0,1, 
raion_build_count_with_material_info,float64,154.0,332.0,754.0,314.0,251.0,1233.0,81.0,361.25670307845087,178.36743269193684,316.0,0.06360072000142968,raion_build_count_with_builddate_info,build_count_1921-1945,build_count_slag,build_count_wood,build_count_after_1995,4991.0,0.16379508385021824,0,1, 
build_count_block,float64,4.0,31.0,208.0,78.0,73.0,223.0,3.0,66.1393578285336,44.94235978245346,55.0,0.031482230056389865,build_count_1946-1970,raion_build_count_with_builddate_info,raion_build_count_with_material_info,ekder_female,ekder_all,4991.0,0.16379508385021824,0,1, 
build_count_wood,float64,0.0,2.0,99.0,2.0,0.0,774.0,0.0,18.64498510427011,59.0924401779605,0.0,0.04248559298916278,build_count_slag,build_count_1921-1945,build_count_mix,raion_build_count_with_builddate_info,raion_build_count_with_material_info,4991.0,0.16379508385021824,0,1, 
build_count_frame,float64,0.0,0.0,61.0,0.0,0.0,97.0,0.0,3.888282025819265,14.189331486006292,0.0,0.030284749710513887,build_count_mix,build_count_wood,sub_area_Solncevo,build_count_1921-1945,raion_build_count_with_builddate_info,4991.0,0.16379508385021824,0,1, 
build_count_brick,float64,25.0,256.0,125.0,99.0,121.0,664.0,0.0,158.07116848725587,150.14942477268445,125.0,0.16859468627318044,office_raion,sport_objects_raion,build_count_before_1920,office_count_5000,cafe_count_5000_na_price,4991.0,0.16379508385021824,0,1, 
build_count_monolith,float64,1.0,12.0,49.0,38.0,7.0,127.0,0.0,11.781363786825555,14.480899072036708,8.0,0.1240438344728981,build_count_after_1995,sub_area_Juzhnoe Butovo,raion_build_count_with_builddate_info,raion_build_count_with_material_info,build_count_slag,4991.0,0.16379508385021824,0,1, 
build_count_panel,float64,124.0,30.0,200.0,97.0,50.0,320.0,5.0,100.23353194306522,69.4791789886223,85.0,0.020059123875165247,work_female,work_all,work_male,raion_popul,preschool_quota,4991.0,0.16379508385021824,0,1, 
build_count_foam,float64,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.30105925190334326,1.7181549651170105,0.0,0.010736660311600902,sub_area_Horoshevo-Mnevniki,build_count_frame,thermal_power_plant_raion_yes,build_count_block,build_count_1946-1970,4991.0,0.16379508385021824,0,1, 
build_count_slag,float64,0.0,1.0,1.0,0.0,0.0,41.0,0.0,1.8475670307845085,3.527333363144358,0.0,0.024027024165163995,build_count_wood,build_count_1921-1945,build_count_after_1995,raion_build_count_with_material_info,raion_build_count_with_builddate_info,4991.0,0.16379508385021824,0,1, 
build_count_mix,float64,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3493876199933797,1.0138457740045925,0.0,0.03300477375711019,build_count_wood,build_count_1921-1945,build_count_slag,raion_build_count_with_builddate_info,raion_build_count_with_material_info,4991.0,0.16379508385021824,0,1, 
raion_build_count_with_builddate_info,float64,154.0,332.0,757.0,314.0,251.0,1233.0,81.0,361.0084409136048,178.29885344684385,316.0,0.06355450944394643,raion_build_count_with_material_info,build_count_1921-1945,build_count_slag,build_count_wood,build_count_after_1995,4991.0,0.16379508385021824,0,1, 
build_count_before_1920,float64,0.0,2.0,38.0,1.0,5.0,371.0,0.0,25.747765640516384,70.45178255911405,0.0,0.0999733134587963,office_raion,cafe_count_3000_price_4000,cafe_count_3000_price_2500,cafe_count_3000_price_1500,cafe_count_3000,4991.0,0.16379508385021824,0,1, 
build_count_1921-1945,float64,0.0,25.0,41.0,0.0,22.0,187.0,0.0,24.863621317444554,39.16331457376284,4.0,0.020349842570375674,build_count_wood,build_count_slag,raion_build_count_with_material_info,raion_build_count_with_builddate_info,build_count_mix,4991.0,0.16379508385021824,0,1, 
build_count_1946-1970,float64,11.0,246.0,413.0,135.0,156.0,845.0,0.0,189.86957960940086,107.6231702215514,169.0,0.0630061472564512,build_count_block,raion_build_count_with_builddate_info,raion_build_count_with_material_info,build_count_brick,build_count_1921-1945,4991.0,0.16379508385021824,0,1, 
build_count_1971-1995,float64,102.0,39.0,99.0,98.0,55.0,210.0,8.0,77.53558424362794,46.178881888722366,67.0,0.009734048827594625,work_male,work_all,raion_popul,work_female,ekder_female,4991.0,0.16379508385021824,0,1, 
build_count_after_1995,float64,41.0,20.0,166.0,80.0,13.0,357.0,1.0,42.99189010261503,42.392269963512604,32.0,0.02586790365902835,build_count_monolith,sub_area_Juzhnoe Butovo,build_count_slag,raion_build_count_with_builddate_info,raion_build_count_with_material_info,4991.0,0.16379508385021824,0,1, 
ID_metro,int64,69,153,148,170,48,221,1,75.57414763323403,51.75467591790819,69.0,0.05282403329124881,sub_area_Poselenie Moskovskij,ID_bus_terminal,sub_area_Poselenie Filimonkovskoe,ID_railroad_station_walk,cafe_count_5000_price_high,0.0,0.0,0,1, 
metro_min_avto,float64,1.817706476,2.003856324,1.607743186,3.29472728,1.499267366,30.44878392,0.050584205,2.580474238675273,2.4743887812696372,2.048604591,0.1921795217044017,metro_km_avto,metro_min_walk,metro_km_walk,park_km,radiation_km,0.0,0.0,0,1, 
metro_km_avto,float64,0.827412852,1.501540324,0.532479476,2.496825444,1.045513346,24.73942175,0.040467364,1.6815170605979808,2.03920845892285,1.270677445,0.17941171303709014,metro_km_walk,metro_min_walk,metro_min_avto,park_km,radiation_km,0.0,0.0,0,1, 
metro_min_walk,float64,9.92895422,10.13570627,6.389753716,26.79998989,12.52545532,294.416294,0.176630133,18.71593599579874,23.531136939888945,13.931639945,0.18278642186120322,metro_min_walk,metro_km_avto,metro_min_avto,radiation_km,park_km,25.0,0.000820452233270979,0,1, 
metro_km_walk,float64,0.827412852,0.844642189,0.532479476,2.23333249,1.043787944,24.53469117,0.014719178000000001,1.5596613329756701,1.9609280782907672,1.1609699955,0.1827864218532484,metro_km_walk,metro_km_avto,metro_min_avto,radiation_km,park_km,25.0,0.000820452233270979,0,1, 
kindergarten_km,float64,0.495570678,0.128005348,0.301740382,0.611144478,0.123438479,2.795812969,0.00046974800000000003,0.3469271200084409,0.2976631216903158,0.2676762095,0.13597482834795346,school_km,preschool_km,public_transport_station_min_walk,public_transport_station_km,hospice_morgue_km,0.0,0.0,0,1, 
school_km,float64,0.183502867,0.508434828,0.740137648,0.859276759,0.430971796,1.808167871,0.0,0.4314926513215822,0.24427372376530257,0.383422026,0.14620761897972373,preschool_km,public_healthcare_km,big_church_km,shopping_centers_km,swim_pool_km,0.0,0.0,0,1, 
park_km,float64,2.590344089,0.741615412,2.653564336,1.734435111,0.821720943,17.21450144,0.015874974,1.510990690799404,1.4060378294845173,1.2678698339999999,0.18658413782605018,metro_km_avto,radiation_km,metro_min_walk,metro_km_walk,metro_min_avto,0.0,0.0,0,1, 
green_zone_km,float64,0.240982265,0.135573105,0.511691073,0.518621814,0.148407571,1.246337028,0.0,0.2873470931828864,0.2069773265658977,0.2382261745,0.06075006092858814,sub_area_Nekrasovka,incineration_raion_yes,sub_area_Poselenie Desjonovskoe,indust_part,office_km,0.0,0.0,0,1, 
industrial_km,float64,1.569973586,0.582759514,0.0,0.075793541,1.113193576,2.89217026,0.0,0.8173774027613374,0.6280793405417452,0.670258697,0.052738367802373294,sub_area_Poselenie Novofedorovskoe,public_transport_station_min_walk,public_transport_station_km,kindergarten_km,cafe_count_1000_price_500,0.0,0.0,0,1, 
water_treatment_km,float64,5.381083,15.72162,16.57169,11.68948,14.73154,24.8009,0.27413899999999997,12.74976861552466,6.04652201957,12.76088,0.05482827455098599,ID_railroad_terminal,bus_terminal_avto_km,big_market_km,oil_chemistry_km,green_part_3000,0.0,0.0,0,1, 
cemetery_km,float64,0.840193,1.930209,2.521917,1.944582,0.394453,5.935573000000001,0.0,2.338047706388613,1.3301007758579477,2.1725879999999997,0.024943983501172485,sub_area_Poselenie Novofedorovskoe,sub_area_Nekrasovka,kindergarten_km,public_transport_station_min_walk,public_transport_station_km,0.0,0.0,0,1, 
incineration_km,float64,5.345642,7.689781,10.49837,14.88568,11.53381,28.830790000000004,0.6763600000000001,9.388056836146971,4.095379606852123,9.485387,0.06190628084715136,radiation_km,power_transmission_line_km,metro_min_walk,metro_km_walk,basketball_km,0.0,0.0,0,1, 
railroad_station_walk_km,float64,3.852724348,3.130615044,2.777813811,4.788364344,1.716647906,14.37638889,0.07265147400000001,3.1107753997467724,2.131828857640466,2.478357171,0.132262790735648,railroad_station_walk_min,railroad_station_avto_km,railroad_km,railroad_station_avto_min,detention_facility_km,25.0,0.000820452233270979,0,1, 
railroad_station_walk_min,float64,46.23269217,37.56738052,33.33376573,57.46037212,20.59977488,172.5166667,0.871817683,37.32930479681,25.581946290975914,29.74028605,0.13226279073817418,railroad_station_walk_km,railroad_station_avto_km,railroad_km,railroad_station_avto_min,detention_facility_km,25.0,0.000820452233270979,0,1, 
ID_railroad_station_walk,float64,47.0,83.0,81.0,50.0,18.0,132.0,1.0,37.6454816285998,26.38414164325531,33.0,0.021834809605251693,ID_railroad_station_avto,catering_km,swim_pool_km,office_km,shopping_centers_km,25.0,0.000820452233270979,0,1, 
railroad_station_avto_km,float64,3.852724348,3.464774434,3.275534391,3.893042495,1.777508858,12.94703568,0.07265147400000001,3.3288752647689503,2.0803204884493565,2.7862987954999996,0.12992812603559695,railroad_station_walk_km,railroad_station_walk_min,railroad_station_avto_min,railroad_km,detention_facility_km,0.0,0.0,0,1, 
railroad_station_avto_min,float64,5.606271106,3.735188826,4.176095859,5.353882245,2.414261752,13.30844065,0.224627572,4.623503209501821,2.3850980632944805,4.176095859,0.13715505280958648,railroad_station_avto_km,railroad_station_walk_km,railroad_station_walk_min,railroad_km,detention_facility_km,0.0,0.0,0,1, 
ID_railroad_station_avto,int64,47,71,81,92,18,138,1,43.6641840450182,32.9279299833611,35.0,0.051294415266215185,ID_railroad_station_walk,swim_pool_km,shopping_centers_km,area_m,office_km,0.0,0.0,0,1, 
public_transport_station_km,float64,0.214894987,0.093045974,0.11100933,0.202716677,0.097635103,0.597865931,0.007799784000000001,0.15622334722376696,0.0889925471766797,0.142402254,0.11996065016368425,public_transport_station_km,kindergarten_km,school_km,preschool_km,sub_area_Poselenie Novofedorovskoe,0.0,0.0,0,1, 
public_transport_station_min_walk,float64,2.578739838,1.116551692,1.33211196,2.432600125,1.171621236,7.174391172000001,0.093597405,1.8746801662125128,1.067910565790486,1.7088270445,0.11996065015823414,public_transport_station_min_walk,kindergarten_km,school_km,preschool_km,sub_area_Poselenie Novofedorovskoe,0.0,0.0,0,1, 
water_km,float64,0.165137402,2.609978256,0.363171451,0.351541691,0.273357535,2.659110219,0.01125854,0.7099443048257199,0.4164280242521541,0.6398623585000001,0.026641146552873293,water_1line_no,prom_part_1500,prom_part_2000,prom_part_1000,ID_metro,0.0,0.0,0,1, 
water_1line,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
mkad_km,float64,1.704869758,11.24699272,8.026104955,7.57422349,6.697563407,19.60851243,0.203813402,6.053921090144654,3.851618382694003,5.5646540135,0.020647730369484002,power_transmission_line_km,ts_km,radiation_km,metro_km_walk,metro_min_walk,0.0,0.0,0,1, 
ttk_km,float64,15.4820465,0.449497618,2.32947968,1.80085356,3.88206182,33.11180722,0.001934755,6.038636778335484,4.229021657024921,5.669722986,0.27261981707411115,sadovoe_km,bulvar_ring_km,kremlin_km,zd_vokzaly_avto_km,stadium_km,0.0,0.0,0,1, 
sadovoe_km,float64,18.6825661,3.145334896,5.387931442,4.510782969,5.975868866,35.75801152,0.000355499,8.445794884093347,4.746622199000262,8.517573037,0.28362151866382573,bulvar_ring_km,kremlin_km,ttk_km,zd_vokzaly_avto_km,stadium_km,0.0,0.0,0,1, 
bulvar_ring_km,float64,20.07708077,3.872968074,6.229349789,5.658066934,6.692665217,36.53375658,0.015040639,9.32726837450629,4.8690582408899585,9.390506141,0.2791582666820578,kremlin_km,sadovoe_km,ttk_km,zd_vokzaly_avto_km,stadium_km,0.0,0.0,0,1, 
kremlin_km,float64,20.72883861,5.200064051,7.384153367,6.539244876,8.493674235,37.78425309,0.072896553,10.437629003773088,4.9376363361839415,10.577156555,0.27924933857229106,bulvar_ring_km,sadovoe_km,ttk_km,zd_vokzaly_avto_km,stadium_km,0.0,0.0,0,1, 
big_road1_km,float64,0.833038866,0.449497602,0.517744593,1.796834393,3.882061817,5.303327662,0.00171886,1.5330104481640185,1.0782743752071506,1.354254056,0.10373664250762232,big_road2_km,sub_area_Krjukovo,sub_area_Poselenie Voskresenskoe,power_transmission_line_km,ts_km,0.0,0.0,0,1, 
ID_big_road1,int64,2,4,32,6,4,43,1,9.733531943065211,8.756173941496854,5.0,0.06723440248537232,railroad_station_avto_km,railroad_station_walk_km,railroad_station_walk_min,sub_area_Poselenie Sosenskoe,cafe_sum_5000_max_price_avg,0.0,0.0,0,1, 
big_road1_1line,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
big_road2_km,float64,1.463848794,0.511861092,0.670072903,1.800853563,4.881662117,8.006118949,0.00193473,2.653381853311155,1.3641938887545626,2.5334092175,0.16077800806651465,thermal_power_plant_km,basketball_km,ts_km,park_km,zd_vokzaly_avto_km,0.0,0.0,0,1, 
ID_big_road2,int64,40,28,35,4,10,57,1,18.234193975504798,15.3797465021554,15.0,0.0815591668852481,power_transmission_line_km,ttk_km,sadovoe_km,bulvar_ring_km,mosque_km,0.0,0.0,0,1, 
railroad_km,float64,0.931077184,1.427299852,0.258020843,1.043566228,0.815000709,7.309018796,0.002349289,1.325608925693479,1.232162070036011,0.9498148240000001,0.09422689342866497,railroad_station_walk_km,railroad_station_walk_min,railroad_station_avto_km,railroad_station_avto_min,shopping_centers_km,0.0,0.0,0,1, 
railroad_1line,object,no,no,no,no,no,yes,no,,,,,,,,,,,,0,1, 
